****** begin! ******
****** step1 ******
episode 0, total reward -455.1859862528011
episode 168, total reward -290.91947734484575
episode 169, total reward -600.8322018619273
episode 170, total reward -478.2067948803645
episode 171, total reward -358.76719859361884
episode 172, total reward -378.98690482570447
episode 173, total reward -371.636145614107
episode 174, total reward -362.2788876228392
episode 175, total reward -286.9735922276416
episode 176, total reward -388.8568211178119
episode 177, total reward -549.3139900842115
episode 178, total reward -252.87312196706992
episode 179, total reward -481.56751563239493
episode 180, total reward -670.3951123414807
start test!
average_test_reward_sum = -588.3062932471934
episode 181, total reward -663.3485917507894
episode 182, total reward -362.62290058780883
episode 183, total reward -484.67857341756746
episode 184, total reward -378.2219612550414
episode 185, total reward -471.3279569590389
episode 186, total reward -666.8464875483612
episode 187, total reward -254.01928312969082
episode 188, total reward -472.6310399193681
episode 189, total reward -384.3595172021595
episode 190, total reward -523.5190376163991
episode 191, total reward -303.26470272584794
episode 192, total reward -363.5599793068849
episode 193, total reward -225.0460810301456
episode 194, total reward -363.4205023555762
episode 195, total reward -329.718323411709
episode 196, total reward -255.05397826879437
episode 197, total reward -365.7738752453552
episode 198, total reward -362.67001296345296
episode 199, total reward -370.0927820204297
episode 200, total reward -334.9905663165519
start test!
average_test_reward_sum = -583.8695379162756
episode 201, total reward -361.14083931637106
episode 202, total reward -370.0699230289532
episode 203, total reward -465.2296825972139
episode 204, total reward -291.5522142772953
episode 205, total reward -684.4928475736722
episode 206, total reward -363.5204409797931
episode 207, total reward -454.11992013114184
episode 208, total reward -469.28195719477765
episode 209, total reward -672.0149685563316
episode 210, total reward -638.1645789214762
episode 211, total reward -412.3639679380155
episode 212, total reward -372.5335090877199
episode 213, total reward -389.9219880923508
episode 214, total reward -501.5667130021823
episode 215, total reward -465.54552562571246
episode 216, total reward -439.7177501610724
episode 217, total reward -387.68451993803666
episode 218, total reward -440.4466778541439
episode 219, total reward -518.2532808649524
episode 220, total reward -260.3636186205208
start test!
average_test_reward_sum = -579.9903895584018
episode 221, total reward -653.5763572036892
episode 222, total reward -617.603311759504
episode 223, total reward -675.4327434226509
episode 224, total reward -438.50392278679084
episode 225, total reward -494.1157535833512
episode 226, total reward -537.3034893524008
episode 227, total reward -354.7239586606613
episode 228, total reward -564.312419751508
episode 229, total reward -501.6351592427561
episode 230, total reward -248.5030588125818
episode 231, total reward -420.5849415687313
episode 232, total reward -312.15902115589586
episode 233, total reward -579.0368002978552
episode 234, total reward -372.3853708026023
episode 235, total reward -533.9588738279868
episode 236, total reward -363.661836102528
episode 237, total reward -256.9159347784449
episode 238, total reward -569.1361661982002
episode 239, total reward -627.1077544627858
episode 240, total reward -659.0720426286255
start test!
average_test_reward_sum = -592.2372577162176
episode 241, total reward -462.2722845500647
episode 242, total reward -626.879673867544
episode 243, total reward -505.27550589720613
episode 244, total reward -268.6624591119986
episode 245, total reward -478.2451261435404
episode 246, total reward -519.0185520954992
episode 247, total reward -474.06322988369277
episode 248, total reward -589.5357534543192
episode 249, total reward -543.7513839211914
episode 250, total reward -467.96423003289954
episode 251, total reward -486.4826718906311
episode 252, total reward -532.5821285186277
episode 253, total reward -501.635384798443
episode 254, total reward -504.6715740784598
episode 255, total reward -365.26174470555185
episode 256, total reward -595.9721455111278
episode 257, total reward -628.2058112293734
episode 258, total reward -368.65542769915095
episode 259, total reward -330.8063052046042
episode 260, total reward -482.6064109975084
start test!
average_test_reward_sum = -614.8077977349967
episode 261, total reward -387.10726505880865
episode 262, total reward -443.8191134713108
episode 263, total reward -364.25210751693044
episode 264, total reward -465.78570152616305
episode 265, total reward -364.0509615423607
episode 266, total reward -593.1863724176618
episode 267, total reward -463.2610350006
episode 268, total reward -384.2918585706665
episode 269, total reward -453.9481767642341
episode 270, total reward -443.3679421745355
episode 271, total reward -363.437563083538
episode 272, total reward -505.0185382447139
episode 273, total reward -513.5003680409737
episode 274, total reward -243.53648704743696
episode 275, total reward -433.03932266051567
episode 276, total reward -444.37905212264104
episode 277, total reward -362.90119188574687
episode 278, total reward -669.7693977141348
episode 279, total reward -550.692060936842
episode 280, total reward -530.5653246813334
start test!
average_test_reward_sum = -603.8952870618723
episode 281, total reward -522.3559562882227
episode 282, total reward -496.58698232274674
episode 283, total reward -516.3980455207926
episode 284, total reward -349.00873613952757
episode 285, total reward -252.6289075211806
episode 286, total reward -252.06382598777796
episode 287, total reward -576.6133329027818
episode 288, total reward -471.42774866050905
episode 289, total reward -616.226297951778
episode 290, total reward -513.9053810906139
episode 291, total reward -361.96830149444577
episode 292, total reward -366.42700086449946
episode 293, total reward -461.53613005118643
episode 294, total reward -416.83599938375664
episode 295, total reward -524.5215762477962
episode 296, total reward -365.11313365614427
episode 297, total reward -523.9749277978925
episode 298, total reward -414.81862240845805
episode 299, total reward -469.720466457634
episode 300, total reward -387.40057145382923
start test!
average_test_reward_sum = -624.6614259215272
episode 301, total reward -460.65793487199693
episode 302, total reward -479.5152109451966
episode 303, total reward -564.1641287500647
episode 304, total reward -329.04498060676417
episode 305, total reward -681.545350058983
episode 306, total reward -622.7383497171561
episode 307, total reward -255.35098803159252
episode 308, total reward -460.1293842992055
episode 309, total reward -450.53440555769157
episode 310, total reward -472.21855074087415
episode 311, total reward -604.1479887523608
episode 312, total reward -358.77614670684346
episode 313, total reward -476.7959395438039
episode 314, total reward -459.8340516944485
episode 315, total reward -332.1303409694226
episode 316, total reward -472.3898686611751
episode 317, total reward -393.8420500234456
episode 318, total reward -463.7598950137937
episode 319, total reward -404.4975394526787
episode 320, total reward -462.16029295533343
start test!
average_test_reward_sum = -621.2971181845877
episode 321, total reward -618.3131836922254
episode 322, total reward -426.93271965484854
episode 323, total reward -447.9181080993029
episode 324, total reward -358.19368901273737
episode 325, total reward -554.1738100539358
episode 326, total reward -636.6697463900515
