****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
episode 168, total reward -295.3519582741679
episode 169, total reward -651.019445946765
episode 170, total reward -287.0188450237547
episode 171, total reward -534.6995947619853
episode 172, total reward -250.80728507081886
episode 173, total reward -379.1001685268802
episode 174, total reward -576.1902188131806
episode 175, total reward -565.8884709892758
episode 176, total reward -364.8437873923559
episode 177, total reward -455.83105144763124
episode 178, total reward -365.7242815970969
episode 179, total reward -318.0134018885878
episode 180, total reward -485.24624454614104
start test!
average_test_reward_sum = -521.9984101370673
episode 181, total reward -478.6222865753807
episode 182, total reward -245.546932410354
episode 183, total reward -363.9486977134246
episode 184, total reward -361.20783649377876
episode 185, total reward -371.31603854197033
episode 186, total reward -519.3237947415021
episode 187, total reward -606.7269300806596
episode 188, total reward -513.9319257235836
episode 189, total reward -449.61586438459994
episode 190, total reward -335.4105267404348
episode 191, total reward -650.9076425237537
episode 192, total reward -644.5570670864369
episode 193, total reward -660.3039638723636
episode 194, total reward -490.046786808406
episode 195, total reward -488.90708855024275
episode 196, total reward -477.24992102119324
episode 197, total reward -486.0488043477397
episode 198, total reward -459.54652948300287
episode 199, total reward -461.1038496792218
episode 200, total reward -367.7285309347504
start test!
average_test_reward_sum = -561.9676684419467
episode 201, total reward -471.6517907181742
episode 202, total reward -256.962829819405
episode 203, total reward -481.3883062131574
episode 204, total reward -589.7606998376547
episode 205, total reward -541.6821633836413
episode 206, total reward -483.5210811550999
episode 207, total reward -615.7203412532456
episode 208, total reward -343.1506320230426
episode 209, total reward -475.38312884551533
episode 210, total reward -681.1372240421381
episode 211, total reward -659.6567070262147
episode 212, total reward -535.9808509595765
episode 213, total reward -502.4801802943159
episode 214, total reward -313.2275537409119
episode 215, total reward -588.174712242249
episode 216, total reward -460.52081987660614
episode 217, total reward -667.146195773973
episode 218, total reward -359.0035973297761
episode 219, total reward -364.1485358924327
episode 220, total reward -512.261476208342
start test!
average_test_reward_sum = -573.1696541897755
episode 221, total reward -464.68335587940794
episode 222, total reward -666.4818934937957
episode 223, total reward -689.3401088683128
episode 224, total reward -576.5662659601179
episode 225, total reward -251.03597615342485
episode 226, total reward -392.57343611360955
episode 227, total reward -525.1073919020921
episode 228, total reward -251.5970159030757
episode 229, total reward -381.31604984214937
episode 230, total reward -440.71365256618896
episode 231, total reward -598.1793756991519
episode 232, total reward -471.841106067232
episode 233, total reward -651.3403126993117
episode 234, total reward -363.99069534756245
episode 235, total reward -364.62307557357576
episode 236, total reward -521.0622931509441
episode 237, total reward -253.12998279786558
episode 238, total reward -365.06734509297905
episode 239, total reward -579.0793269524085
episode 240, total reward -680.9824364354699
start test!
average_test_reward_sum = -555.9371331449399
episode 241, total reward -517.7124840939856
episode 242, total reward -364.4764171165538
episode 243, total reward -360.60984180614855
episode 244, total reward -383.29944515363286
episode 245, total reward -492.54275253682204
episode 246, total reward -361.3159546285103
episode 247, total reward -469.8351208756457
episode 248, total reward -249.75819826531975
episode 249, total reward -661.1212815094592
episode 250, total reward -399.05368370130816
episode 251, total reward -424.0959157265684
episode 252, total reward -491.25029662405484
episode 253, total reward -369.8028187936752
episode 254, total reward -432.04573373459294
episode 255, total reward -334.5228180059925
episode 256, total reward -504.23296771849755
episode 257, total reward -623.2616580516459
episode 258, total reward -510.1695423181876
episode 259, total reward -531.4615003627349
episode 260, total reward -363.50009879931105
start test!
average_test_reward_sum = -592.332925678078
episode 261, total reward -482.0717166691937
episode 262, total reward -368.2689592782898
episode 263, total reward -471.620858066871
episode 264, total reward -385.79880583490393
episode 265, total reward -379.71176360396635
episode 266, total reward -300.6442567629405
episode 267, total reward -440.35270853973475
episode 268, total reward -363.312202997358
episode 269, total reward -657.8791812380604
episode 270, total reward -537.2581666649905
episode 271, total reward -363.9642779547808
episode 272, total reward -417.0994829385988
episode 273, total reward -552.6170196368179
episode 274, total reward -459.33489844681674
episode 275, total reward -360.5877497736369
episode 276, total reward -607.1635784590937
episode 277, total reward -704.5024186925839
episode 278, total reward -362.352047560645
episode 279, total reward -643.1403152173234
episode 280, total reward -465.347264196347
start test!
average_test_reward_sum = -583.9224487289255
episode 281, total reward -622.2016614677788
episode 282, total reward -530.2125428760952
episode 283, total reward -575.2463982123546
episode 284, total reward -459.73833102079925
episode 285, total reward -650.9925966740992
episode 286, total reward -479.3316004247958
episode 287, total reward -641.2846773865905
episode 288, total reward -642.3836600472955
episode 289, total reward -520.7350398527989
episode 290, total reward -458.30017654180364
episode 291, total reward -394.9808776211551
episode 292, total reward -372.96287757517155
episode 293, total reward -565.4993531761176
episode 294, total reward -603.2523759478794
episode 295, total reward -364.28161865017626
episode 296, total reward -343.4326915650346
episode 297, total reward -423.6127741950325
episode 298, total reward -574.2977689604005
episode 299, total reward -683.5500489879884
episode 300, total reward -479.121081488434
start test!
average_test_reward_sum = -579.2959075912864
episode 301, total reward -617.696680078096
episode 302, total reward -639.709084018565
episode 303, total reward -495.9932687820867
episode 304, total reward -293.86464039090026
episode 305, total reward -377.77235605137014
episode 306, total reward -471.6035613122007
episode 307, total reward -266.04865321882943
episode 308, total reward -610.0040564651888
episode 309, total reward -467.95397444073376
episode 310, total reward -478.81937836621523
episode 311, total reward -354.19225862153894
episode 312, total reward -501.3276193091144
episode 313, total reward -613.7545688931357
episode 314, total reward -421.42031433393566
episode 315, total reward -456.15532453875437
episode 316, total reward -329.478496966506
episode 317, total reward -636.1666936778853
episode 318, total reward -364.2924992286781
episode 319, total reward -354.7452188888866
episode 320, total reward -279.3323658159555
start test!
average_test_reward_sum = -559.466162339017
episode 321, total reward -635.7559304629531
episode 322, total reward -518.8655184702856
episode 323, total reward -325.6917058110246
episode 324, total reward -692.268808157564
episode 325, total reward -382.3145130692617
episode 326, total reward -439.96586681577685
