****** begin! ******
****** step1 ******
episode 0, total reward -573.6744993729882
episode 168, total reward -530.0054181000138
episode 169, total reward -564.1906210759696
episode 170, total reward -438.2472250585085
episode 171, total reward -664.7697618762713
episode 172, total reward -651.6140407289034
episode 173, total reward -573.6600875479329
episode 174, total reward -474.491196886719
episode 175, total reward -575.3308284402333
episode 176, total reward -272.42481841234337
episode 177, total reward -572.314371601324
episode 178, total reward -656.0403208783108
episode 179, total reward -488.1032977580277
episode 180, total reward -353.80939760487166
start test!
average_test_reward_sum = -514.1044771875615
episode 181, total reward -524.2102504721897
episode 182, total reward -447.75967421486047
episode 183, total reward -669.1555653828889
episode 184, total reward -470.1324426392343
episode 185, total reward -642.6831449392514
episode 186, total reward -585.5766533228858
episode 187, total reward -686.9029458002781
episode 188, total reward -361.6764695753967
episode 189, total reward -464.2719097644724
episode 190, total reward -480.4193554593416
episode 191, total reward -277.74086250263724
episode 192, total reward -678.1687032566527
episode 193, total reward -361.01598144009654
episode 194, total reward -652.5940707069891
episode 195, total reward -672.5084980632479
episode 196, total reward -581.2012372113804
episode 197, total reward -339.3040250687242
episode 198, total reward -637.0441219787513
episode 199, total reward -577.1055498575647
episode 200, total reward -711.7843100126416
start test!
average_test_reward_sum = -518.7266297736722
episode 201, total reward -515.3402643341954
episode 202, total reward -523.8073859644218
episode 203, total reward -252.44221907909028
episode 204, total reward -526.7860566348893
episode 205, total reward -497.27809403247795
episode 206, total reward -318.3864490924063
episode 207, total reward -362.8671357791847
episode 208, total reward -613.701698099194
episode 209, total reward -262.83761970349997
episode 210, total reward -373.68513313214896
episode 211, total reward -561.678803129915
episode 212, total reward -668.1731611384856
episode 213, total reward -649.1053312049551
episode 214, total reward -459.7043818908985
episode 215, total reward -451.8031638818311
episode 216, total reward -366.39454537434005
episode 217, total reward -636.7279112160182
episode 218, total reward -616.4993049539213
episode 219, total reward -489.57167192181936
episode 220, total reward -489.6273061392267
start test!
average_test_reward_sum = -561.6873119662719
episode 221, total reward -671.0730031416239
episode 222, total reward -521.1869836992053
episode 223, total reward -592.4081574836716
episode 224, total reward -351.7816159027152
episode 225, total reward -359.45770429421555
episode 226, total reward -512.8711678037926
episode 227, total reward -493.7022624711517
episode 228, total reward -383.8871705471622
episode 229, total reward -476.3429397360611
episode 230, total reward -689.9481879911602
episode 231, total reward -500.82620824388175
episode 232, total reward -327.3294003757732
episode 233, total reward -489.45406952995216
episode 234, total reward -620.4721578796941
episode 235, total reward -365.6379282310261
episode 236, total reward -597.1624334880684
episode 237, total reward -670.3589978811449
episode 238, total reward -460.4011276743845
episode 239, total reward -669.7559021955478
episode 240, total reward -511.6940926700259
start test!
average_test_reward_sum = -553.3939340089416
episode 241, total reward -258.24530851247
episode 242, total reward -323.09102851491167
episode 243, total reward -360.6843559672357
episode 244, total reward -378.3466087852852
episode 245, total reward -660.3616475638997
episode 246, total reward -327.6435827303756
episode 247, total reward -469.71426859029606
episode 248, total reward -596.1978987765951
episode 249, total reward -348.0100396840437
episode 250, total reward -343.6573760033985
episode 251, total reward -385.736765051012
episode 252, total reward -245.4715765803376
episode 253, total reward -465.0557270067824
episode 254, total reward -369.9415220514769
episode 255, total reward -551.2195535255762
episode 256, total reward -541.1170316579451
episode 257, total reward -621.2931223418327
episode 258, total reward -383.5399355967351
episode 259, total reward -456.64736880807226
episode 260, total reward -676.1687705277772
start test!
average_test_reward_sum = -592.9056218443799
episode 261, total reward -362.5356438858409
episode 262, total reward -358.8537505389143
episode 263, total reward -477.38544399658053
episode 264, total reward -612.3178777000144
episode 265, total reward -370.0354189478173
episode 266, total reward -432.8459566108717
episode 267, total reward -473.90584413212827
episode 268, total reward -380.1121062728419
episode 269, total reward -451.4296105397277
episode 270, total reward -614.0860555250395
episode 271, total reward -632.0746266892509
episode 272, total reward -554.7025603945287
episode 273, total reward -362.28148908845225
episode 274, total reward -479.3356909509279
episode 275, total reward -534.159275979422
episode 276, total reward -452.6146288546681
episode 277, total reward -468.63272291410607
episode 278, total reward -381.0346187508887
episode 279, total reward -582.1200011411795
episode 280, total reward -644.0830920491275
start test!
average_test_reward_sum = -569.6852000297424
episode 281, total reward -621.2657916378625
episode 282, total reward -489.8511694682649
episode 283, total reward -672.8277794605401
episode 284, total reward -369.69415400212705
episode 285, total reward -471.27933624374685
episode 286, total reward -369.9396919336518
episode 287, total reward -607.9024351916726
episode 288, total reward -471.27986529165815
episode 289, total reward -466.1597832703232
episode 290, total reward -396.9094921233037
episode 291, total reward -463.0849748238109
episode 292, total reward -654.6023855123547
episode 293, total reward -693.9496473329896
episode 294, total reward -451.14819030819314
episode 295, total reward -505.8444328660148
episode 296, total reward -434.1850428879196
episode 297, total reward -363.72918274932937
episode 298, total reward -610.7674240258966
episode 299, total reward -329.10845870069693
episode 300, total reward -666.0077012588617
start test!
average_test_reward_sum = -603.1889759387989
episode 301, total reward -531.102371984786
episode 302, total reward -604.7739740704701
episode 303, total reward -701.4796783735678
episode 304, total reward -372.2777747037686
episode 305, total reward -673.081532047239
episode 306, total reward -409.1304878397498
episode 307, total reward -356.526991435819
episode 308, total reward -360.56193479163693
episode 309, total reward -508.5351916049787
episode 310, total reward -369.22971088217366
episode 311, total reward -562.1929309171906
episode 312, total reward -623.6220913075076
episode 313, total reward -652.5150336750473
episode 314, total reward -382.9217245540445
episode 315, total reward -603.0376522735281
episode 316, total reward -358.0634156373277
episode 317, total reward -360.9877787124738
episode 318, total reward -431.90009089669906
episode 319, total reward -364.51164406611815
episode 320, total reward -535.2811556917966
start test!
average_test_reward_sum = -583.6635920828083
episode 321, total reward -473.17528722459
episode 322, total reward -616.9071890747811
episode 323, total reward -468.54033819420437
episode 324, total reward -523.71122705941
episode 325, total reward -486.3134265758986
episode 326, total reward -697.0714129183541
episode 327, total reward -412.78580772711337
episode 328, total reward -685.2499119206218
episode 329, total reward -252.50357266515326
episode 330, total reward -376.8741331466198
episode 331, total reward -542.5830813329135
episode 332, total reward -678.3572661180854
episode 333, total reward -481.63262929684885
episode 334, total reward -580.3465732605061
episode 335, total reward -347.07239933241317
episode 336, total reward -250.7473561182341
episode 337, total reward -517.77565722604
episode 338, total reward -321.0320152435784
episode 339, total reward -384.9671443769087
episode 340, total reward -258.70566659395337
start test!
average_test_reward_sum = -560.7095066079294
episode 341, total reward -460.652147607137
