****** begin! ******
****** step1 ******
episode 0, total reward -343.1650811730087
episode 168, total reward -355.724576740394
episode 169, total reward -368.6478672017697
episode 170, total reward -605.0440088552756
episode 171, total reward -251.57066738204415
episode 172, total reward -280.235710895249
episode 173, total reward -515.4409643648486
episode 174, total reward -574.4704072825184
episode 175, total reward -511.75978294134177
episode 176, total reward -378.7206839282446
episode 177, total reward -365.06089625467166
episode 178, total reward -486.2476069294878
episode 179, total reward -590.2642932357378
episode 180, total reward -358.5242528929945
start test!
average_test_reward_sum = -492.4504440306856
episode 181, total reward -541.0080458060412
episode 182, total reward -628.7478156064033
episode 183, total reward -571.7660471763786
episode 184, total reward -363.8801578550425
episode 185, total reward -252.58040840527732
episode 186, total reward -363.6472485913486
episode 187, total reward -357.46970201205113
episode 188, total reward -448.784128777092
episode 189, total reward -366.7641866271479
episode 190, total reward -462.45881135503566
episode 191, total reward -573.4209776631016
episode 192, total reward -464.72164299093686
episode 193, total reward -612.114674241711
episode 194, total reward -523.112892598193
episode 195, total reward -465.08441791388583
episode 196, total reward -327.3953835319935
episode 197, total reward -461.878020149605
episode 198, total reward -350.9594453118141
episode 199, total reward -499.5569702480153
episode 200, total reward -389.23179020800774
start test!
average_test_reward_sum = -550.449675793396
episode 201, total reward -496.2845638150445
episode 202, total reward -353.5694943820194
episode 203, total reward -383.6732335489737
episode 204, total reward -280.21511733517445
episode 205, total reward -355.5643659739296
episode 206, total reward -471.81163548134947
episode 207, total reward -343.3413488307435
episode 208, total reward -445.6300918719198
episode 209, total reward -463.6356394350151
episode 210, total reward -438.22441802756305
episode 211, total reward -249.6239088702817
episode 212, total reward -408.5304308288106
episode 213, total reward -474.8118153905323
episode 214, total reward -244.35214793206094
episode 215, total reward -262.54239241149344
episode 216, total reward -512.3471084298026
episode 217, total reward -486.45697502604105
episode 218, total reward -373.26149645358885
episode 219, total reward -251.63030588739653
episode 220, total reward -540.8257832861988
start test!
average_test_reward_sum = -541.0185629103896
episode 221, total reward -255.37032596537318
episode 222, total reward -394.2295310711935
episode 223, total reward -368.70020479550817
episode 224, total reward -288.8969653638388
episode 225, total reward -378.71741214978147
episode 226, total reward -667.2981906933181
episode 227, total reward -428.5255587314505
episode 228, total reward -473.2624615517151
episode 229, total reward -357.69483186201006
episode 230, total reward -643.9012262278868
episode 231, total reward -272.36070829581945
episode 232, total reward -518.1465127743182
episode 233, total reward -253.93171120660276
episode 234, total reward -363.1303985174492
episode 235, total reward -461.2744759561803
episode 236, total reward -565.2586503464418
episode 237, total reward -365.26297448057335
episode 238, total reward -464.46992695615023
episode 239, total reward -466.8613368808123
episode 240, total reward -376.39620198434784
start test!
average_test_reward_sum = -558.2994791980192
episode 241, total reward -626.7210028944635
episode 242, total reward -480.84259622837163
episode 243, total reward -357.60359889660117
episode 244, total reward -285.5785385748689
episode 245, total reward -649.489262634851
episode 246, total reward -454.6510563849425
episode 247, total reward -364.5229283111487
episode 248, total reward -534.2125148979634
episode 249, total reward -360.80050701839696
episode 250, total reward -630.3227984241679
episode 251, total reward -642.5176684799642
episode 252, total reward -356.6840865528472
episode 253, total reward -381.5336614736041
