****** begin! ******
****** step1 ******
episode 0, total reward -361.01173543188855
episode 168, total reward -455.91215772870936
episode 169, total reward -432.12309500961095
episode 170, total reward -462.8257744636037
episode 171, total reward -550.5997235232534
episode 172, total reward -463.06932921803497
episode 173, total reward -359.1593038701803
episode 174, total reward -482.1912854343611
episode 175, total reward -585.8247519600868
episode 176, total reward -364.8085168535945
episode 177, total reward -464.05606791591777
episode 178, total reward -478.2902448107662
episode 179, total reward -253.77699688199533
episode 180, total reward -612.5346288167248
start test!
average_test_reward_sum = -498.9817849818539
episode 181, total reward -467.68881077205714
episode 182, total reward -642.6990152411645
episode 183, total reward -615.0621657760664
episode 184, total reward -431.5737601123356
episode 185, total reward -261.5792165977774
episode 186, total reward -440.700645589469
episode 187, total reward -533.7123082671577
episode 188, total reward -449.67161429079727
episode 189, total reward -264.55057125283923
episode 190, total reward -529.85320382295
episode 191, total reward -366.4696800360194
episode 192, total reward -527.9775776310405
episode 193, total reward -686.1362532212144
episode 194, total reward -258.6334696997877
episode 195, total reward -389.4923051046655
episode 196, total reward -475.4513722938546
episode 197, total reward -462.0545093786841
episode 198, total reward -466.11373077746396
episode 199, total reward -504.9266744015766
episode 200, total reward -556.7543508686824
start test!
average_test_reward_sum = -548.2946684593898
episode 201, total reward -446.8776617999946
episode 202, total reward -647.8097712031271
episode 203, total reward -349.78105623294965
episode 204, total reward -622.2112488204355
episode 205, total reward -603.2467150174816
episode 206, total reward -587.7278730640621
episode 207, total reward -369.3343580212793
episode 208, total reward -478.7980017344445
episode 209, total reward -251.0682633948629
episode 210, total reward -507.8878500842504
episode 211, total reward -512.1915336604129
episode 212, total reward -443.20838960454165
episode 213, total reward -481.6773479164807
episode 214, total reward -466.74990778113187
episode 215, total reward -406.7095376695139
episode 216, total reward -324.53050828142284
episode 217, total reward -612.7067375073839
episode 218, total reward -427.473092610259
episode 219, total reward -628.9921407940237
episode 220, total reward -563.0645457789234
start test!
average_test_reward_sum = -579.1182491675784
episode 221, total reward -554.3376043391942
episode 222, total reward -366.79828415034973
episode 223, total reward -520.7376365176591
episode 224, total reward -244.22331155359797
episode 225, total reward -481.2223223978232
episode 226, total reward -250.08638382638472
episode 227, total reward -631.3927953922906
episode 228, total reward -360.8741767122718
episode 229, total reward -626.1445158460663
episode 230, total reward -374.4497858977672
episode 231, total reward -310.84988742391613
episode 232, total reward -547.8128809845924
