****** begin! ******
****** step1 ******
episode 0, total reward -549.498502532012
episode 168, total reward -263.5409875569045
episode 169, total reward -444.96747543637906
episode 170, total reward -363.2168796630511
episode 171, total reward -454.5689986722752
episode 172, total reward -483.2866082833234
episode 173, total reward -582.6007545316147
episode 174, total reward -365.6953504095508
episode 175, total reward -359.4025564242254
episode 176, total reward -448.2978372486416
episode 177, total reward -454.79940671317576
episode 178, total reward -459.0940106656863
episode 179, total reward -363.6513268574896
episode 180, total reward -297.43652910603856
start test!
average_test_reward_sum = -537.0180842609446
episode 181, total reward -482.42923974168787
episode 182, total reward -466.48797146752884
episode 183, total reward -468.1222209945672
episode 184, total reward -369.7711933258989
episode 185, total reward -462.7156416923068
episode 186, total reward -463.6959448210036
episode 187, total reward -548.3277107068545
episode 188, total reward -516.9176447124893
episode 189, total reward -485.7580020244966
episode 190, total reward -363.5621648649173
episode 191, total reward -486.4021599565138
episode 192, total reward -600.948912181035
episode 193, total reward -454.68434170412877
episode 194, total reward -493.4720138354129
episode 195, total reward -480.361780250333
episode 196, total reward -489.46594945874205
episode 197, total reward -654.1675907076433
episode 198, total reward -682.3890448763949
episode 199, total reward -337.7567760022897
episode 200, total reward -372.3211486304046
start test!
average_test_reward_sum = -568.8958955396528
episode 201, total reward -446.2231399838638
episode 202, total reward -675.6418066975953
episode 203, total reward -589.0043835499333
episode 204, total reward -362.34533442540646
episode 205, total reward -360.37493458241477
episode 206, total reward -522.7463844441295
episode 207, total reward -452.68979576631165
episode 208, total reward -389.0680850340713
episode 209, total reward -367.44486225489936
episode 210, total reward -485.4398227945806
episode 211, total reward -454.35637756275713
episode 212, total reward -584.7664102391575
episode 213, total reward -336.60045547425165
episode 214, total reward -448.2531837498645
episode 215, total reward -362.7885033969932
episode 216, total reward -364.72402990273326
episode 217, total reward -485.0487821963775
episode 218, total reward -360.7379651141512
episode 219, total reward -385.600491900906
episode 220, total reward -435.8599470755315
start test!
average_test_reward_sum = -631.1228733803518
episode 221, total reward -369.3667254819164
episode 222, total reward -366.692914270378
episode 223, total reward -649.9725911441063
episode 224, total reward -512.6121251258036
episode 225, total reward -428.60337290673675
episode 226, total reward -434.82851911214584
episode 227, total reward -365.24760866975464
episode 228, total reward -485.23179150088225
episode 229, total reward -570.8049910866939
episode 230, total reward -450.99304752956897
episode 231, total reward -363.90926340224263
episode 232, total reward -652.3798348649093
episode 233, total reward -473.77398897993965
episode 234, total reward -462.00487185103435
episode 235, total reward -339.9584082305752
episode 236, total reward -394.7302326870314
episode 237, total reward -418.2881782429651
episode 238, total reward -470.9563697916651
episode 239, total reward -277.6492351782578
episode 240, total reward -368.61010328831003
start test!
average_test_reward_sum = -596.5300502287186
episode 241, total reward -455.80809588808626
episode 242, total reward -461.2214919662363
episode 243, total reward -363.3490991911741
episode 244, total reward -557.4071377557451
episode 245, total reward -362.6032926303256
episode 246, total reward -326.12405030049985
episode 247, total reward -642.7163257285739
episode 248, total reward -666.1638557204245
episode 249, total reward -484.8226501790053
episode 250, total reward -565.1229900744429
episode 251, total reward -592.3391583550041
episode 252, total reward -468.0036866097017
episode 253, total reward -375.3395767473369
episode 254, total reward -372.849814246072
episode 255, total reward -651.8643889437133
episode 256, total reward -354.0581197019338
episode 257, total reward -608.0381311230176
episode 258, total reward -529.4153599785824
episode 259, total reward -376.45904780233525
episode 260, total reward -574.366334309369
start test!
average_test_reward_sum = -611.6393719011911
episode 261, total reward -474.1070150058259
episode 262, total reward -239.82036710936262
episode 263, total reward -488.1834370451829
episode 264, total reward -362.1219042835431
episode 265, total reward -364.87253264456245
episode 266, total reward -259.3107156419068
episode 267, total reward -257.29154840830546
episode 268, total reward -547.3365446079094
episode 269, total reward -362.2165188524931
episode 270, total reward -602.6003941781161
episode 271, total reward -366.01320304373183
episode 272, total reward -465.81979660106856
episode 273, total reward -454.3856614275817
episode 274, total reward -475.35266271659617
episode 275, total reward -452.2752083282889
episode 276, total reward -362.0526309006278
episode 277, total reward -464.0121487173245
episode 278, total reward -463.6000042043788
episode 279, total reward -480.348958142541
episode 280, total reward -538.8780383244853
start test!
average_test_reward_sum = -604.0911736356575
episode 281, total reward -632.7129814678757
episode 282, total reward -401.9904919936487
episode 283, total reward -645.1185595721853
episode 284, total reward -661.7109901271768
episode 285, total reward -536.6170325273954
episode 286, total reward -651.8843782621682
episode 287, total reward -359.95791722822827
episode 288, total reward -606.4612134600417
episode 289, total reward -577.2779774064842
episode 290, total reward -391.162530572344
episode 291, total reward -609.550274149085
episode 292, total reward -623.5442601250477
episode 293, total reward -684.3294507808941
episode 294, total reward -664.3160971165147
episode 295, total reward -281.65954462436105
episode 296, total reward -365.71275421834406
episode 297, total reward -365.31322311973054
episode 298, total reward -310.7355307404576
episode 299, total reward -373.3653361811461
episode 300, total reward -490.5719725817777
start test!
average_test_reward_sum = -611.6542665229122
episode 301, total reward -461.0709605912596
episode 302, total reward -467.1240489282365
episode 303, total reward -656.5690936841947
episode 304, total reward -451.30923081045705
episode 305, total reward -430.13578758791004
episode 306, total reward -359.8064444907467
episode 307, total reward -629.2148415603058
episode 308, total reward -416.15731418304154
episode 309, total reward -470.5096963543961
