****** begin! ******
****** step1 ******
episode 0, total reward -305.36208882493764
episode 168, total reward -374.9563794025303
episode 169, total reward -362.78411227057796
episode 170, total reward -362.701811492767
episode 171, total reward -579.8425379581896
episode 172, total reward -369.4142854882587
episode 173, total reward -243.85826417746713
episode 174, total reward -518.7897643113602
episode 175, total reward -489.5964875106663
episode 176, total reward -495.0724098697722
episode 177, total reward -261.4325479327445
episode 178, total reward -362.22876450714944
episode 179, total reward -570.6937679791358
episode 180, total reward -314.37752514964683
start test!
average_test_reward_sum = -575.1934346545852
episode 181, total reward -657.6109425549531
episode 182, total reward -522.1094825951004
episode 183, total reward -462.8809576112091
episode 184, total reward -255.602517782113
episode 185, total reward -479.2131430319304
episode 186, total reward -282.8593993896744
episode 187, total reward -336.32388945934804
episode 188, total reward -468.86631345431107
episode 189, total reward -477.3743096892449
episode 190, total reward -454.94239386830816
episode 191, total reward -368.595697390017
episode 192, total reward -659.2506335235563
episode 193, total reward -584.4806868879793
episode 194, total reward -430.59467225305445
episode 195, total reward -704.4247400684782
episode 196, total reward -382.9865206640005
episode 197, total reward -626.5236879866671
episode 198, total reward -341.44080253161945
episode 199, total reward -507.7972409689737
episode 200, total reward -654.9495530403811
start test!
average_test_reward_sum = -618.7811947925134
episode 201, total reward -457.0330755561158
episode 202, total reward -554.3265220684133
episode 203, total reward -363.9108892000022
episode 204, total reward -678.8027314654146
episode 205, total reward -494.4290192296044
episode 206, total reward -524.5649272130241
episode 207, total reward -492.5804527270413
episode 208, total reward -515.5110987570222
episode 209, total reward -665.4097913373498
episode 210, total reward -250.80371556337798
episode 211, total reward -385.23479951479266
episode 212, total reward -587.974157376539
episode 213, total reward -483.01935006243883
episode 214, total reward -504.6159512593929
episode 215, total reward -493.23548364093375
episode 216, total reward -371.1846962363807
episode 217, total reward -640.1253414603414
episode 218, total reward -607.2752050963682
episode 219, total reward -493.78088707524194
episode 220, total reward -641.0393673279491
start test!
average_test_reward_sum = -556.8053289917425
episode 221, total reward -250.52834808848715
episode 222, total reward -574.5246482353168
episode 223, total reward -535.5507712065767
episode 224, total reward -677.697229911845
episode 225, total reward -580.8162505383292
episode 226, total reward -679.3445150919065
episode 227, total reward -489.453263721839
episode 228, total reward -647.5609368565499
episode 229, total reward -308.95474252625047
episode 230, total reward -464.56162662677974
episode 231, total reward -447.9584093262474
episode 232, total reward -450.89868439851284
episode 233, total reward -405.9296961236733
episode 234, total reward -525.7456058128591
episode 235, total reward -540.9794611998327
episode 236, total reward -484.44979788261026
episode 237, total reward -251.8050583778846
episode 238, total reward -376.19753218342265
episode 239, total reward -604.8277066799961
episode 240, total reward -697.1195910981371
start test!
average_test_reward_sum = -622.5742519740961
episode 241, total reward -461.91085113327944
episode 242, total reward -413.1667265233061
episode 243, total reward -391.47224831952616
episode 244, total reward -678.7345362533746
episode 245, total reward -434.89462187183227
episode 246, total reward -551.3380300297704
episode 247, total reward -266.0063701375164
episode 248, total reward -257.25322036927804
episode 249, total reward -602.8642742912502
episode 250, total reward -457.60499522424374
episode 251, total reward -665.10634443398
episode 252, total reward -407.8895967690772
episode 253, total reward -373.5704265417898
episode 254, total reward -356.7802255284876
episode 255, total reward -514.1004551952205
episode 256, total reward -635.5655281159909
episode 257, total reward -508.5087146066611
episode 258, total reward -680.4120332526943
episode 259, total reward -492.1633012471593
episode 260, total reward -625.0771486873164
start test!
average_test_reward_sum = -579.0181280540231
episode 261, total reward -446.4319597439254
episode 262, total reward -529.9011694512003
episode 263, total reward -278.1249955332854
episode 264, total reward -353.27974627627873
episode 265, total reward -375.12378607123867
episode 266, total reward -370.33349899026257
episode 267, total reward -383.52141485248256
episode 268, total reward -471.5034691505212
episode 269, total reward -413.04728311436395
episode 270, total reward -615.4653073099913
episode 271, total reward -462.98440577993046
episode 272, total reward -498.46773941873306
episode 273, total reward -497.3260526339784
episode 274, total reward -358.6685973638217
episode 275, total reward -364.55821565420297
episode 276, total reward -516.2209423173769
episode 277, total reward -290.1903455906046
